user_id,session_id,timestamp,key,press_time,release_time,dwell_time,flight_time,pause_duration,backspace,error_flag,typing_speed,state
user_01,user_01_sess_01,1710001702864,Key.g,1710001702864.16,1710001702939.15,74.99,121.16,0.0,0,0,61.2,Calm
user_01,user_01_sess_01,1710001703031,Key.enter,1710001703031.9,1710001703090.7,58.8,92.75,0.0,0,0,79.2,Calm
user_01,user_01_sess_01,1710001703219,Key.q,1710001703219.69,1710001703306.24,86.55,128.99,0.0,0,0,55.7,Calm
user_01,user_01_sess_01,1710001703470,Key.backspace,1710001703470.1,1710001703591.42,121.32,163.86,0.0,1,1,42.1,Calm
user_01,user_01_sess_01,1710001703686,Key.x,1710001703686.45,1710001703781.85,95.4,95.03,0.0,0,0,63.0,Calm
user_01,user_01_sess_01,1710001703864,Key.p,1710001703864.97,1710001703963.96,99.0,83.12,0.0,0,0,65.9,Calm
user_01,user_01_sess_01,1710001704077,Key.q,1710001704077.85,1710001704163.05,85.2,113.88,0.0,0,0,60.3,Calm
user_01,user_01_sess_01,1710001704272,Key.j,1710001704272.0,1710001704361.72,89.72,108.96,0.0,0,0,60.4,Calm
user_01,user_01_sess_01,1710001704504,Key.p,1710001704504.88,1710001704589.08,84.2,143.16,0.0,0,0,52.8,Calm
user_01,user_01_sess_01,1710001704660,Key.d,1710001704660.54,1710001704769.57,109.03,71.46,0.0,0,0,66.5,Calm
user_01,user_01_sess_01,1710001704836,Key.b,1710001704836.84,1710001704946.64,109.81,67.27,0.0,0,0,67.8,Calm
user_01,user_01_sess_01,1710001705007,Key.n,1710001705007.87,1710001705108.69,100.81,61.23,0.0,0,0,74.1,Calm
user_01,user_01_sess_01,1710001705249,Key.d,1710001705249.55,1710001705348.48,98.94,140.86,0.0,0,0,50.0,Calm
user_01,user_01_sess_01,1710001705551,Key.q,1710001705551.44,1710001705660.58,109.14,202.96,0.0,0,0,38.4,Calm
user_01,user_01_sess_01,1710001705745,Key.v,1710001705745.39,1710001705813.78,68.39,84.81,0.0,0,0,78.3,Calm
user_01,user_01_sess_01,1710001705938,Key.y,1710001705938.44,1710001706035.18,96.74,124.67,0.0,0,0,54.2,Calm
user_01,user_01_sess_01,1710001706176,Key.shift,1710001706176.25,1710001706281.73,105.48,141.07,0.0,0,0,48.7,Calm
user_01,user_01_sess_01,1710001706397,Key.x,1710001706397.81,1710001706505.38,107.57,116.08,0.0,0,0,53.7,Calm
user_01,user_01_sess_01,1710001706649,Key.l,1710001706649.52,1710001706750.48,100.96,144.14,0.0,0,0,49.0,Calm
user_01,user_01_sess_01,1710001706821,Key.h,1710001706821.15,1710001706942.59,121.44,70.66,0.0,0,0,62.5,Calm
user_01,user_01_sess_01,1710001707062,Key.a,1710001707062.97,1710001707172.99,110.03,120.38,0.0,0,0,52.1,Calm
user_01,user_01_sess_01,1710001707310,Key.w,1710001707310.44,1710001707388.63,78.19,137.45,0.0,0,0,55.6,Calm
user_01,user_01_sess_01,1710001707527,Key.i,1710001707527.4,1710001707575.25,47.84,138.77,0.0,0,0,64.3,Calm
user_01,user_01_sess_01,1710001707681,Key.y,1710001707681.28,1710001707778.98,97.71,106.03,0.0,0,0,58.9,Calm
user_01,user_01_sess_01,1710001707889,Key.i,1710001707889.65,1710001708000.91,111.26,110.67,0.0,0,0,54.1,Calm
user_01,user_01_sess_02,1710001223716,Key.x,1710001223716.28,1710001223863.73,147.44,241.28,0.0,0,0,30.9,Fatigued
user_01,user_01_sess_02,1710001224095,Key.h,1710001224095.23,1710001224256.71,161.48,231.51,0.0,0,0,30.5,Fatigued
user_01,user_01_sess_02,1710001224469,Key.s,1710001224469.37,1710001224631.7,162.33,212.66,0.0,0,0,32.0,Fatigued
user_01,user_01_sess_02,1710001224875,Key.u,1710001224875.26,1710001225014.69,139.43,243.56,0.0,0,0,31.3,Fatigued
user_01,user_01_sess_02,1710001225199,Key.w,1710001225199.02,1710001225319.73,120.71,184.33,0.0,0,0,39.3,Fatigued
user_01,user_01_sess_02,1710001225525,Key.h,1710001225525.01,1710001225644.54,119.52,205.28,0.0,0,0,36.9,Fatigued
user_01,user_01_sess_02,1710001225846,Key.t,1710001225846.55,1710001225979.56,133.01,202.02,0.0,0,0,35.8,Fatigued
user_01,user_01_sess_02,1710001226248,Key.p,1710001226248.7,1710001226376.73,128.02,269.14,0.0,0,0,30.2,Fatigued
user_01,user_01_sess_02,1710001226559,Key.a,1710001226559.82,1710001226719.54,159.72,183.09,0.0,0,0,35.0,Fatigued
user_01,user_01_sess_02,1710001227025,Key.backspace,1710001227025.75,1710001227171.84,146.08,306.21,306.21,1,1,26.5,Fatigued
user_01,user_01_sess_02,1710001227382,Key.space,1710001227382.77,1710001227536.37,153.6,210.93,0.0,0,0,32.9,Fatigued
user_01,user_01_sess_02,1710001227808,Key.s,1710001227808.18,1710001227908.2,100.02,271.81,0.0,0,0,32.3,Fatigued
user_01,user_01_sess_02,1710001228154,Key.b,1710001228154.52,1710001228320.09,165.57,246.32,0.0,0,0,29.1,Fatigued
user_01,user_01_sess_02,1710001228491,Key.g,1710001228491.03,1710001228661.28,170.25,170.94,0.0,0,0,35.2,Fatigued
user_01,user_01_sess_02,1710001228900,Key.w,1710001228900.3,1710001229054.52,154.22,239.02,0.0,0,0,30.5,Fatigued
user_01,user_01_sess_02,1710001229305,Key.backspace,1710001229305.1,1710001229480.82,175.72,250.58,0.0,1,1,28.1,Fatigued
user_01,user_01_sess_02,1710001229703,Key.p,1710001229703.22,1710001229820.3,117.09,222.4,0.0,0,0,35.3,Fatigued
user_01,user_01_sess_02,1710001230061,Key.d,1710001230061.9,1710001230204.32,142.42,241.6,0.0,0,0,31.2,Fatigued
user_01,user_01_sess_02,1710001230393,Key.s,1710001230393.32,1710001230531.34,138.01,189.01,0.0,0,0,36.7,Fatigued
user_01,user_01_sess_02,1710001230765,Key.l,1710001230765.21,1710001230943.91,178.7,233.87,0.0,0,0,29.1,Fatigued
user_01,user_01_sess_02,1710001231209,Key.space,1710001231209.66,1710001231358.76,149.09,265.75,0.0,0,0,28.9,Fatigued
user_01,user_01_sess_02,1710001231584,Key.e,1710001231584.09,1710001231747.1,163.01,225.33,0.0,0,0,30.9,Fatigued
